Lmod has detected the following error: A different version of the 'GCCcore'
module is already loaded (see output of 'ml').
You should load another 'GCC' module that is compatible with the currently
loaded version of 'GCCcore'.
Use 'ml spider GCC' to get an overview of the available versions.


If you don't understand the warning or error, contact the helpdesk at
hpc@vub.be 
While processing the following module(s):
    Module fullname        Module Filename
    ---------------        ---------------
    GCC/12.3.0             /apps/brussel/RL8/skylake/modules/2023a/all/GCC/12.3.0.lua
    gfbf/2023a             /apps/brussel/RL8/skylake/modules/2023a/all/gfbf/2023a.lua
    sympy/1.12-gfbf-2023a  /apps/brussel/RL8/skylake/modules/2023a/all/sympy/1.12-gfbf-2023a.lua


Due to MODULEPATH changes, the following have been reloaded:
  1) OpenSSL/1.1

== Dataset=Naval Propulsion X.shape=(11934, 16) LogScore/Normal
[iter 900] loss=-4.5327 val_loss=0.0000 scale=1.0000 norm=0.3695
[iter 1000] loss=-4.6250 val_loss=0.0000 scale=1.0000 norm=0.3719
[iter 1100] loss=-4.6968 val_loss=0.0000 scale=1.0000 norm=0.3767
[iter 1200] loss=-4.7567 val_loss=0.0000 scale=1.0000 norm=0.3842
[iter 1300] loss=-4.8129 val_loss=0.0000 scale=0.5000 norm=0.1945
[iter 1400] loss=-4.8668 val_loss=0.0000 scale=1.0000 norm=0.3925
[iter 1500] loss=-4.9131 val_loss=0.0000 scale=1.0000 norm=0.3974
[iter 1600] loss=-4.9523 val_loss=0.0000 scale=1.0000 norm=0.4029
[iter 1700] loss=-4.9908 val_loss=0.0000 scale=1.0000 norm=0.4065
[iter 1800] loss=-5.0268 val_loss=0.0000 scale=1.0000 norm=0.4104
[iter 1900] loss=-5.0593 val_loss=0.0000 scale=1.0000 norm=0.4123
[iter 0] loss=-2.8004 val_loss=0.0000 scale=1.0000 norm=0.3860
[iter 100] loss=-3.0345 val_loss=0.0000 scale=1.0000 norm=0.3330
[iter 200] loss=-3.2927 val_loss=0.0000 scale=1.0000 norm=0.3228
[iter 300] loss=-3.5329 val_loss=0.0000 scale=1.0000 norm=0.3339
[iter 400] loss=-3.7410 val_loss=0.0000 scale=2.0000 norm=0.6935
[iter 500] loss=-3.9351 val_loss=0.0000 scale=1.0000 norm=0.3539
[iter 600] loss=-4.1079 val_loss=0.0000 scale=1.0000 norm=0.3606
[iter 700] loss=-4.2675 val_loss=0.0000 scale=1.0000 norm=0.3669
[iter 800] loss=-4.4062 val_loss=0.0000 scale=1.0000 norm=0.3688
[iter 900] loss=-4.5201 val_loss=0.0000 scale=1.0000 norm=0.3760
[iter 1000] loss=-4.6072 val_loss=0.0000 scale=1.0000 norm=0.3823
[iter 1100] loss=-4.6812 val_loss=0.0000 scale=1.0000 norm=0.3848
[iter 1200] loss=-4.7457 val_loss=0.0000 scale=1.0000 norm=0.3915
[iter 1300] loss=-4.8048 val_loss=0.0000 scale=1.0000 norm=0.3956
[iter 1400] loss=-4.8557 val_loss=0.0000 scale=1.0000 norm=0.3981
[iter 1500] loss=-4.9080 val_loss=0.0000 scale=1.0000 norm=0.3970
[iter 1600] loss=-4.9563 val_loss=0.0000 scale=1.0000 norm=0.3974
[iter 1700] loss=-4.9927 val_loss=0.0000 scale=1.0000 norm=0.4037
[iter 1800] loss=-5.0286 val_loss=0.0000 scale=1.0000 norm=0.4067
[iter 1900] loss=-5.0604 val_loss=0.0000 scale=0.5000 norm=0.2047
[2/20] BestIter=2000 RMSE: Val=0.0022 Test=0.0021 NLL: Test=-4.9878
[iter 0] loss=-2.8034 val_loss=0.0000 scale=1.0000 norm=0.3865
[iter 100] loss=-3.0328 val_loss=0.0000 scale=1.0000 norm=0.3353
[iter 200] loss=-3.3105 val_loss=0.0000 scale=1.0000 norm=0.3262
[iter 300] loss=-3.5636 val_loss=0.0000 scale=2.0000 norm=0.6615
[iter 400] loss=-3.7674 val_loss=0.0000 scale=1.0000 norm=0.3446
[iter 500] loss=-3.9503 val_loss=0.0000 scale=1.0000 norm=0.3563
[iter 600] loss=-4.1215 val_loss=0.0000 scale=1.0000 norm=0.3615
[iter 700] loss=-4.2689 val_loss=0.0000 scale=1.0000 norm=0.3633
[iter 800] loss=-4.3980 val_loss=0.0000 scale=1.0000 norm=0.3739
[iter 900] loss=-4.5070 val_loss=0.0000 scale=1.0000 norm=0.3827
[iter 1000] loss=-4.5928 val_loss=0.0000 scale=1.0000 norm=0.3875
[iter 1100] loss=-4.6581 val_loss=0.0000 scale=1.0000 norm=0.3949
[iter 1200] loss=-4.7268 val_loss=0.0000 scale=1.0000 norm=0.3929
[iter 1300] loss=-4.7857 val_loss=0.0000 scale=1.0000 norm=0.3950
[iter 1400] loss=-4.8377 val_loss=0.0000 scale=1.0000 norm=0.3974
[iter 1500] loss=-4.8853 val_loss=0.0000 scale=1.0000 norm=0.3996
[iter 1600] loss=-4.9283 val_loss=0.0000 scale=1.0000 norm=0.3996
[iter 1700] loss=-4.9646 val_loss=0.0000 scale=1.0000 norm=0.4029
[iter 1800] loss=-5.0016 val_loss=0.0000 scale=1.0000 norm=0.4058
[iter 1900] loss=-5.0331 val_loss=0.0000 scale=1.0000 norm=0.4093
[iter 0] loss=-2.8009 val_loss=0.0000 scale=1.0000 norm=0.3866
[iter 100] loss=-3.0293 val_loss=0.0000 scale=2.0000 norm=0.6683
[iter 200] loss=-3.2939 val_loss=0.0000 scale=1.0000 norm=0.3242
[iter 300] loss=-3.5486 val_loss=0.0000 scale=1.0000 norm=0.3330
[iter 400] loss=-3.7552 val_loss=0.0000 scale=1.0000 norm=0.3442
[iter 500] loss=-3.9403 val_loss=0.0000 scale=1.0000 norm=0.3517
[iter 600] loss=-4.1114 val_loss=0.0000 scale=1.0000 norm=0.3614
[iter 700] loss=-4.2677 val_loss=0.0000 scale=1.0000 norm=0.3673
[iter 800] loss=-4.3998 val_loss=0.0000 scale=1.0000 norm=0.3712
[iter 900] loss=-4.5059 val_loss=0.0000 scale=1.0000 norm=0.3760
[iter 1000] loss=-4.5941 val_loss=0.0000 scale=1.0000 norm=0.3811
[iter 1100] loss=-4.6713 val_loss=0.0000 scale=1.0000 norm=0.3854
[iter 1200] loss=-4.7390 val_loss=0.0000 scale=1.0000 norm=0.3925
[iter 1300] loss=-4.7917 val_loss=0.0000 scale=1.0000 norm=0.4018
[iter 1400] loss=-4.8461 val_loss=0.0000 scale=1.0000 norm=0.4039
[iter 1500] loss=-4.8934 val_loss=0.0000 scale=1.0000 norm=0.4081
[iter 1600] loss=-4.9384 val_loss=0.0000 scale=1.0000 norm=0.4111
[iter 1700] loss=-4.9806 val_loss=0.0000 scale=1.0000 norm=0.4132
[iter 1800] loss=-5.0184 val_loss=0.0000 scale=1.0000 norm=0.4173
[iter 1900] loss=-5.0514 val_loss=0.0000 scale=1.0000 norm=0.4209
[3/20] BestIter=2000 RMSE: Val=0.0022 Test=0.0021 NLL: Test=-4.9734
[iter 0] loss=-2.7956 val_loss=0.0000 scale=1.0000 norm=0.3827
[iter 100] loss=-3.0288 val_loss=0.0000 scale=1.0000 norm=0.3326
[iter 200] loss=-3.2949 val_loss=0.0000 scale=1.0000 norm=0.3198
[iter 300] loss=-3.5424 val_loss=0.0000 scale=1.0000 norm=0.3302
[iter 400] loss=-3.7515 val_loss=0.0000 scale=1.0000 norm=0.3427
[iter 500] loss=-3.9521 val_loss=0.0000 scale=1.0000 norm=0.3509
[iter 600] loss=-4.1350 val_loss=0.0000 scale=1.0000 norm=0.3570
[iter 700] loss=-4.2935 val_loss=0.0000 scale=1.0000 norm=0.3617
[iter 800] loss=-4.4265 val_loss=0.0000 scale=1.0000 norm=0.3631
[iter 900] loss=-4.5396 val_loss=0.0000 scale=1.0000 norm=0.3684
[iter 1000] loss=-4.6241 val_loss=0.0000 scale=1.0000 norm=0.3790
[iter 1100] loss=-4.6978 val_loss=0.0000 scale=1.0000 norm=0.3884
[iter 1200] loss=-4.7575 val_loss=0.0000 scale=1.0000 norm=0.3967
[iter 1300] loss=-4.8151 val_loss=0.0000 scale=1.0000 norm=0.4031
[iter 1400] loss=-4.8695 val_loss=0.0000 scale=1.0000 norm=0.4079
[iter 1500] loss=-4.9187 val_loss=0.0000 scale=1.0000 norm=0.4091
[iter 1600] loss=-4.9581 val_loss=0.0000 scale=1.0000 norm=0.4136
[iter 1700] loss=-4.9956 val_loss=0.0000 scale=1.0000 norm=0.4157
[iter 1800] loss=-5.0304 val_loss=0.0000 scale=1.0000 norm=0.4193
[iter 1900] loss=-5.0607 val_loss=0.0000 scale=1.0000 norm=0.4220
[iter 0] loss=-2.7998 val_loss=0.0000 scale=1.0000 norm=0.3855
[iter 100] loss=-3.0321 val_loss=0.0000 scale=1.0000 norm=0.3328
[iter 200] loss=-3.2933 val_loss=0.0000 scale=1.0000 norm=0.3234
[iter 300] loss=-3.5293 val_loss=0.0000 scale=1.0000 norm=0.3341
[iter 400] loss=-3.7339 val_loss=0.0000 scale=1.0000 norm=0.3438
[iter 500] loss=-3.9291 val_loss=0.0000 scale=2.0000 norm=0.7006
[iter 600] loss=-4.1075 val_loss=0.0000 scale=2.0000 norm=0.7139
[iter 700] loss=-4.2633 val_loss=0.0000 scale=2.0000 norm=0.7249
[iter 800] loss=-4.3946 val_loss=0.0000 scale=1.0000 norm=0.3680
[iter 900] loss=-4.5064 val_loss=0.0000 scale=2.0000 norm=0.7486
[iter 1000] loss=-4.5969 val_loss=0.0000 scale=1.0000 norm=0.3808
[iter 1100] loss=-4.6695 val_loss=0.0000 scale=1.0000 norm=0.3872
[iter 1200] loss=-4.7323 val_loss=0.0000 scale=1.0000 norm=0.3967
[iter 1300] loss=-4.7910 val_loss=0.0000 scale=1.0000 norm=0.4004
[iter 1400] loss=-4.8424 val_loss=0.0000 scale=1.0000 norm=0.4051
[iter 1500] loss=-4.9026 val_loss=0.0000 scale=1.0000 norm=0.3997
[iter 1600] loss=-4.9459 val_loss=0.0000 scale=1.0000 norm=0.4065
[iter 1700] loss=-4.9891 val_loss=0.0000 scale=1.0000 norm=0.4088
[iter 1800] loss=-5.0254 val_loss=0.0000 scale=1.0000 norm=0.4113
[iter 1900] loss=-5.0588 val_loss=0.0000 scale=1.0000 norm=0.4132
[4/20] BestIter=2000 RMSE: Val=0.0021 Test=0.0021 NLL: Test=-4.9767
[iter 0] loss=-2.8020 val_loss=0.0000 scale=1.0000 norm=0.3856
[iter 100] loss=-3.0316 val_loss=0.0000 scale=1.0000 norm=0.3320
[iter 200] loss=-3.2937 val_loss=0.0000 scale=1.0000 norm=0.3234
[iter 300] loss=-3.5311 val_loss=0.0000 scale=1.0000 norm=0.3323
[iter 400] loss=-3.7474 val_loss=0.0000 scale=2.0000 norm=0.6879
[iter 500] loss=-3.9432 val_loss=0.0000 scale=1.0000 norm=0.3525
[iter 600] loss=-4.1175 val_loss=0.0000 scale=1.0000 norm=0.3601
[iter 700] loss=-4.2708 val_loss=0.0000 scale=1.0000 norm=0.3663
[iter 800] loss=-4.4084 val_loss=0.0000 scale=2.0000 norm=0.7322
[iter 900] loss=-4.5189 val_loss=0.0000 scale=1.0000 norm=0.3730
[iter 1000] loss=-4.6044 val_loss=0.0000 scale=1.0000 norm=0.3837
[iter 1100] loss=-4.6790 val_loss=0.0000 scale=1.0000 norm=0.3881
[iter 1200] loss=-4.7436 val_loss=0.0000 scale=1.0000 norm=0.3936
[iter 1300] loss=-4.7941 val_loss=0.0000 scale=1.0000 norm=0.4014
[iter 1400] loss=-4.8445 val_loss=0.0000 scale=1.0000 norm=0.4051
[iter 1500] loss=-4.8947 val_loss=0.0000 scale=1.0000 norm=0.4064
[iter 1600] loss=-4.9423 val_loss=0.0000 scale=1.0000 norm=0.4078
[iter 1700] loss=-4.9858 val_loss=0.0000 scale=0.5000 norm=0.2043
[iter 1800] loss=-5.0214 val_loss=0.0000 scale=1.0000 norm=0.4119
[iter 1900] loss=-5.0542 val_loss=0.0000 scale=1.0000 norm=0.4142
[iter 0] loss=-2.7984 val_loss=0.0000 scale=1.0000 norm=0.3844
[iter 100] loss=-3.0269 val_loss=0.0000 scale=1.0000 norm=0.3329
[iter 200] loss=-3.2881 val_loss=0.0000 scale=2.0000 norm=0.6455
[iter 300] loss=-3.5337 val_loss=0.0000 scale=2.0000 norm=0.6640
[iter 400] loss=-3.7445 val_loss=0.0000 scale=1.0000 norm=0.3439
[iter 500] loss=-3.9389 val_loss=0.0000 scale=1.0000 norm=0.3514
[iter 600] loss=-4.1156 val_loss=0.0000 scale=2.0000 norm=0.7138
[iter 700] loss=-4.2705 val_loss=0.0000 scale=1.0000 norm=0.3614
[iter 800] loss=-4.4041 val_loss=0.0000 scale=1.0000 norm=0.3667
[iter 900] loss=-4.5176 val_loss=0.0000 scale=2.0000 norm=0.7507
[iter 1000] loss=-4.6067 val_loss=0.0000 scale=1.0000 norm=0.3836
[iter 1100] loss=-4.6789 val_loss=0.0000 scale=2.0000 norm=0.7803
[iter 1200] loss=-4.7424 val_loss=0.0000 scale=1.0000 norm=0.3965
[iter 1300] loss=-4.8016 val_loss=0.0000 scale=1.0000 norm=0.4014
[iter 1400] loss=-4.8565 val_loss=0.0000 scale=1.0000 norm=0.4028
[iter 1500] loss=-4.9048 val_loss=0.0000 scale=1.0000 norm=0.4083
[iter 1600] loss=-4.9516 val_loss=0.0000 scale=1.0000 norm=0.4105
[iter 1700] loss=-4.9917 val_loss=0.0000 scale=1.0000 norm=0.4130
[iter 1800] loss=-5.0257 val_loss=0.0000 scale=1.0000 norm=0.4161
[iter 1900] loss=-5.0569 val_loss=0.0000 scale=1.0000 norm=0.4183
[5/20] BestIter=2000 RMSE: Val=0.0022 Test=0.0022 NLL: Test=-4.8999
[iter 0] loss=-2.7982 val_loss=0.0000 scale=1.0000 norm=0.3841
[iter 100] loss=-3.0277 val_loss=0.0000 scale=1.0000 norm=0.3321
[iter 200] loss=-3.3210 val_loss=0.0000 scale=1.0000 norm=0.3216
[iter 300] loss=-3.5705 val_loss=0.0000 scale=1.0000 norm=0.3298
[iter 400] loss=-3.7736 val_loss=0.0000 scale=1.0000 norm=0.3424
[iter 500] loss=-3.9553 val_loss=0.0000 scale=1.0000 norm=0.3521
[iter 600] loss=-4.1192 val_loss=0.0000 scale=2.0000 norm=0.7227
[iter 700] loss=-4.2670 val_loss=0.0000 scale=2.0000 norm=0.7339
[iter 800] loss=-4.3926 val_loss=0.0000 scale=1.0000 norm=0.3715
[iter 900] loss=-4.5025 val_loss=0.0000 scale=1.0000 norm=0.3749
[iter 1000] loss=-4.5868 val_loss=0.0000 scale=1.0000 norm=0.3749
[iter 1100] loss=-4.6609 val_loss=0.0000 scale=1.0000 norm=0.3790
[iter 1200] loss=-4.7212 val_loss=0.0000 scale=1.0000 norm=0.3862
[iter 1300] loss=-4.7757 val_loss=0.0000 scale=0.5000 norm=0.1958
[iter 1400] loss=-4.8240 val_loss=0.0000 scale=1.0000 norm=0.3964
[iter 1500] loss=-4.8661 val_loss=0.0000 scale=1.0000 norm=0.4001
[iter 1600] loss=-4.9099 val_loss=0.0000 scale=1.0000 norm=0.3989
[iter 1700] loss=-4.9475 val_loss=0.0000 scale=1.0000 norm=0.4016
[iter 1800] loss=-4.9802 val_loss=0.0000 scale=0.5000 norm=0.2032
[iter 1900] loss=-5.0103 val_loss=0.0000 scale=1.0000 norm=0.4102
[iter 0] loss=-2.7985 val_loss=0.0000 scale=1.0000 norm=0.3854
[iter 100] loss=-3.0286 val_loss=0.0000 scale=1.0000 norm=0.3331
[iter 200] loss=-3.2895 val_loss=0.0000 scale=1.0000 norm=0.3223
[iter 300] loss=-3.5266 val_loss=0.0000 scale=1.0000 norm=0.3321
[iter 400] loss=-3.7398 val_loss=0.0000 scale=1.0000 norm=0.3436
[iter 500] loss=-3.9469 val_loss=0.0000 scale=1.0000 norm=0.3519
[iter 600] loss=-4.1246 val_loss=0.0000 scale=1.0000 norm=0.3599
[iter 700] loss=-4.2811 val_loss=0.0000 scale=1.0000 norm=0.3667
[iter 800] loss=-4.4133 val_loss=0.0000 scale=1.0000 norm=0.3705
[iter 900] loss=-4.5222 val_loss=0.0000 scale=1.0000 norm=0.3787
[iter 1000] loss=-4.6058 val_loss=0.0000 scale=0.5000 norm=0.1928
[iter 1100] loss=-4.6713 val_loss=0.0000 scale=1.0000 norm=0.3914
[iter 1200] loss=-4.7290 val_loss=0.0000 scale=1.0000 norm=0.3960
[iter 1300] loss=-4.7852 val_loss=0.0000 scale=1.0000 norm=0.4004
[iter 1400] loss=-4.8413 val_loss=0.0000 scale=1.0000 norm=0.4016
[iter 1500] loss=-4.8932 val_loss=0.0000 scale=1.0000 norm=0.4032
[iter 1600] loss=-4.9403 val_loss=0.0000 scale=1.0000 norm=0.4046
[iter 1700] loss=-4.9765 val_loss=0.0000 scale=1.0000 norm=0.4089
[iter 1800] loss=-5.0122 val_loss=0.0000 scale=1.0000 norm=0.4106
[iter 1900] loss=-5.0460 val_loss=0.0000 scale=1.0000 norm=0.4119
[6/20] BestIter=2000 RMSE: Val=0.0024 Test=0.0022 NLL: Test=-4.9570
[iter 0] loss=-2.7994 val_loss=0.0000 scale=1.0000 norm=0.3865
[iter 100] loss=-3.0289 val_loss=0.0000 scale=1.0000 norm=0.3330
[iter 200] loss=-3.2904 val_loss=0.0000 scale=2.0000 norm=0.6438
[iter 300] loss=-3.5464 val_loss=0.0000 scale=1.0000 norm=0.3250
[iter 400] loss=-3.7465 val_loss=0.0000 scale=1.0000 norm=0.3348
[iter 500] loss=-3.9301 val_loss=0.0000 scale=1.0000 norm=0.3458
[iter 600] loss=-4.1000 val_loss=0.0000 scale=1.0000 norm=0.3546
[iter 700] loss=-4.2604 val_loss=0.0000 scale=1.0000 norm=0.3599
[iter 800] loss=-4.3852 val_loss=0.0000 scale=1.0000 norm=0.3660
[iter 900] loss=-4.4966 val_loss=0.0000 scale=0.5000 norm=0.1838
[iter 1000] loss=-4.5886 val_loss=0.0000 scale=1.0000 norm=0.3689
[iter 1100] loss=-4.6574 val_loss=0.0000 scale=1.0000 norm=0.3781
[iter 1200] loss=-4.7148 val_loss=0.0000 scale=1.0000 norm=0.3868
[iter 1300] loss=-4.7748 val_loss=0.0000 scale=1.0000 norm=0.3887
[iter 1400] loss=-4.8293 val_loss=0.0000 scale=1.0000 norm=0.3935
[iter 1500] loss=-4.8802 val_loss=0.0000 scale=1.0000 norm=0.3959
[iter 1600] loss=-4.9223 val_loss=0.0000 scale=1.0000 norm=0.4011
[iter 1700] loss=-4.9619 val_loss=0.0000 scale=1.0000 norm=0.4051
[iter 1800] loss=-4.9941 val_loss=0.0000 scale=1.0000 norm=0.4095
[iter 1900] loss=-5.0251 val_loss=0.0000 scale=1.0000 norm=0.4127
[iter 0] loss=-2.7991 val_loss=0.0000 scale=1.0000 norm=0.3855
[iter 100] loss=-3.0196 val_loss=0.0000 scale=1.0000 norm=0.3340
[iter 200] loss=-3.2914 val_loss=0.0000 scale=2.0000 norm=0.6453
[iter 300] loss=-3.5420 val_loss=0.0000 scale=1.0000 norm=0.3278
[iter 400] loss=-3.7451 val_loss=0.0000 scale=1.0000 norm=0.3396
[iter 500] loss=-3.9269 val_loss=0.0000 scale=1.0000 norm=0.3481
[iter 600] loss=-4.0914 val_loss=0.0000 scale=2.0000 norm=0.7115
[iter 700] loss=-4.2437 val_loss=0.0000 scale=1.0000 norm=0.3625
[iter 800] loss=-4.3716 val_loss=0.0000 scale=1.0000 norm=0.3720
[iter 900] loss=-4.4775 val_loss=0.0000 scale=1.0000 norm=0.3745
[iter 1000] loss=-4.5653 val_loss=0.0000 scale=0.5000 norm=0.1891
[iter 1100] loss=-4.6353 val_loss=0.0000 scale=1.0000 norm=0.3852
[iter 1200] loss=-4.6958 val_loss=0.0000 scale=1.0000 norm=0.3902
[iter 1300] loss=-4.7543 val_loss=0.0000 scale=1.0000 norm=0.3937
[iter 1400] loss=-4.8078 val_loss=0.0000 scale=1.0000 norm=0.3980
[iter 1500] loss=-4.8553 val_loss=0.0000 scale=1.0000 norm=0.4039
[iter 1600] loss=-4.8970 val_loss=0.0000 scale=1.0000 norm=0.4075
[iter 1700] loss=-4.9404 val_loss=0.0000 scale=1.0000 norm=0.4076
[iter 1800] loss=-4.9761 val_loss=0.0000 scale=1.0000 norm=0.4107
[iter 1900] loss=-5.0105 val_loss=0.0000 scale=1.0000 norm=0.4126
[7/20] BestIter=2000 RMSE: Val=0.0022 Test=0.0023 NLL: Test=-4.8755
[iter 0] loss=-2.8007 val_loss=0.0000 scale=1.0000 norm=0.3847
[iter 100] loss=-3.0268 val_loss=0.0000 scale=2.0000 norm=0.6677
[iter 200] loss=-3.2986 val_loss=0.0000 scale=2.0000 norm=0.6465
[iter 300] loss=-3.5399 val_loss=0.0000 scale=1.0000 norm=0.3346
[iter 400] loss=-3.7484 val_loss=0.0000 scale=1.0000 norm=0.3455
[iter 500] loss=-3.9466 val_loss=0.0000 scale=1.0000 norm=0.3513
[iter 600] loss=-4.1209 val_loss=0.0000 scale=1.0000 norm=0.3590
[iter 700] loss=-4.2745 val_loss=0.0000 scale=1.0000 norm=0.3634
[iter 800] loss=-4.3986 val_loss=0.0000 scale=2.0000 norm=0.7327
[iter 900] loss=-4.5039 val_loss=0.0000 scale=1.0000 norm=0.3734
[iter 1000] loss=-4.5987 val_loss=0.0000 scale=1.0000 norm=0.3756
[iter 1100] loss=-4.6724 val_loss=0.0000 scale=1.0000 norm=0.3799
[iter 1200] loss=-4.7299 val_loss=0.0000 scale=1.0000 norm=0.3894
[iter 1300] loss=-4.7853 val_loss=0.0000 scale=1.0000 norm=0.3938
[iter 1400] loss=-4.8346 val_loss=0.0000 scale=1.0000 norm=0.3974
[iter 1500] loss=-4.8814 val_loss=0.0000 scale=1.0000 norm=0.4023
[iter 1600] loss=-4.9276 val_loss=0.0000 scale=1.0000 norm=0.4045
[iter 1700] loss=-4.9664 val_loss=0.0000 scale=1.0000 norm=0.4081
[iter 1800] loss=-5.0040 val_loss=0.0000 scale=1.0000 norm=0.4105
[iter 1900] loss=-5.0371 val_loss=0.0000 scale=1.0000 norm=0.4128
[iter 0] loss=-2.7991 val_loss=0.0000 scale=1.0000 norm=0.3844
[iter 100] loss=-3.0315 val_loss=0.0000 scale=1.0000 norm=0.3328
[iter 200] loss=-3.3052 val_loss=0.0000 scale=1.0000 norm=0.3238
[iter 300] loss=-3.5444 val_loss=0.0000 scale=1.0000 norm=0.3357
[iter 400] loss=-3.7543 val_loss=0.0000 scale=1.0000 norm=0.3478
[iter 500] loss=-3.9500 val_loss=0.0000 scale=1.0000 norm=0.3547
[iter 600] loss=-4.1267 val_loss=0.0000 scale=1.0000 norm=0.3625
[iter 700] loss=-4.2801 val_loss=0.0000 scale=1.0000 norm=0.3668
[iter 800] loss=-4.4068 val_loss=0.0000 scale=1.0000 norm=0.3739
[iter 900] loss=-4.5118 val_loss=0.0000 scale=1.0000 norm=0.3803
